sim_time,gpu_id,kernel_id,view,region_size_bytes,num_regions_with_entries,strict_coalescable_ratio,avg_relaxed_ratio,full_redundant_ratio,sharer_set_cardinality_dist_json,reg_card1_ratio,reg_card2_ratio,reg_card3_ratio,reg_card4plus_ratio,coalescable_private_ratio,coalescable_shared_ratio,shared_only_strict_ratio
0.071133642,2,0,read_only,64,374181,1.000000,1.000000,1.000000,{"1":374179,"2":2},0.999995,0.000005,0.000000,0.000000,0.999995,0.000005,1.000000
0.071133642,2,0,union,64,374181,1.000000,1.000000,1.000000,{"1":374179,"2":2},0.999995,0.000005,0.000000,0.000000,0.999995,0.000005,1.000000
0.071133642,2,0,snapshot,64,8192,1.000000,1.000000,1.000000,{"1":8192},1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,-1.000000
0.071133642,2,0,read_only,256,93546,0.999979,0.999992,0.999979,{"1":374179,"2":2},0.999979,0.000021,0.000000,0.000000,0.999979,0.000000,0.000000
0.071133642,2,0,union,256,93546,0.999979,0.999992,0.999979,{"1":374179,"2":2},0.999979,0.000021,0.000000,0.000000,0.999979,0.000000,0.000000
0.071133642,2,0,snapshot,256,5044,1.000000,1.000000,1.000000,{"1":8192},1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,-1.000000
0.071133642,2,0,read_only,1024,23387,0.999914,0.999973,0.999914,{"1":374179,"2":2},0.999914,0.000086,0.000000,0.000000,0.999914,0.000000,0.000000
0.071133642,2,0,union,1024,23387,0.999914,0.999973,0.999914,{"1":374179,"2":2},0.999914,0.000086,0.000000,0.000000,0.999914,0.000000,0.000000
0.071133642,2,0,snapshot,1024,2448,1.000000,1.000000,1.000000,{"1":8192},1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,-1.000000
0.071133642,2,0,read_only,4096,5847,0.999658,0.999850,0.999658,{"1":374179,"2":2},0.999658,0.000342,0.000000,0.000000,0.999658,0.000000,0.000000
0.071133642,2,0,union,4096,5847,0.999658,0.999850,0.999658,{"1":374179,"2":2},0.999658,0.000342,0.000000,0.000000,0.999658,0.000000,0.000000
0.071133642,2,0,snapshot,4096,886,1.000000,1.000000,1.000000,{"1":8192},1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,-1.000000
0.071133642,2,0,read_only,16384,1464,0.995902,0.998991,0.995902,{"1":374179,"2":2},0.995902,0.004098,0.000000,0.000000,0.995902,0.000000,0.000000
0.071133642,2,0,union,16384,1464,0.995902,0.998991,0.995902,{"1":374179,"2":2},0.995902,0.004098,0.000000,0.000000,0.995902,0.000000,0.000000
0.071133642,2,0,snapshot,16384,313,0.996805,0.998509,0.996805,{"1":8192},0.996805,0.003195,0.000000,0.000000,0.996805,0.000000,0.000000
