gpu_id,view,region_size_bytes,num_kernels,avg_strict_ratio,avg_relaxed_ratio,avg_full_redundant_ratio,min_strict_ratio,max_strict_ratio,phase0_pass,avg_reg_card1_ratio,avg_reg_card2_ratio,avg_reg_card3_ratio,avg_reg_card4plus_ratio,avg_coalescable_private_ratio,avg_coalescable_shared_ratio,avg_shared_only_strict_ratio
3,read_only,64,1,1.000000,1.000000,1.000000,1.000000,1.000000,1,0.983713,0.016287,0.000000,0.000000,0.983713,0.016287,1.000000
3,read_only,256,1,0.964632,0.982356,0.964632,0.964632,0.964632,1,0.958782,0.041076,0.000142,0.000000,0.958782,0.005849,0.141913
3,read_only,1024,1,0.845714,0.950939,0.845714,0.845714,0.845714,1,0.845714,0.152177,0.002109,0.000000,0.845714,0.000000,0.000000
3,read_only,4096,1,0.540558,0.869135,0.540558,0.540558,0.540558,1,0.540558,0.417851,0.041591,0.000000,0.540558,0.000000,0.000000
3,read_only,16384,1,0.022866,0.394769,0.022866,0.022866,0.022866,0,0.022866,0.022866,0.954268,0.000000,0.022866,0.000000,0.000000
3,snapshot,64,1,1.000000,1.000000,1.000000,1.000000,1.000000,1,0.996216,0.003784,0.000000,0.000000,0.996216,0.003784,1.000000
3,snapshot,256,1,0.998074,0.999180,0.998074,0.998074,0.998074,1,0.994863,0.005137,0.000000,0.000000,0.994863,0.003211,0.625000
3,snapshot,1024,1,0.994917,0.997776,0.994917,0.994917,0.994917,1,0.992376,0.007306,0.000318,0.000000,0.992376,0.002541,0.333333
3,snapshot,4096,1,0.993641,0.997258,0.993641,0.993641,0.993641,1,0.990859,0.008347,0.000795,0.000000,0.990859,0.002782,0.304348
3,snapshot,16384,1,0.428369,0.802867,0.428369,0.428369,0.428369,1,0.427660,0.560284,0.012057,0.000000,0.427660,0.000709,0.001239
3,union,64,1,1.000000,1.000000,1.000000,1.000000,1.000000,1,0.983713,0.016287,0.000000,0.000000,0.983713,0.016287,1.000000
3,union,256,1,0.964621,0.982350,0.964621,0.964621,0.964621,1,0.958771,0.041087,0.000142,0.000000,0.958771,0.005849,0.141876
3,union,1024,1,0.845714,0.950942,0.845714,0.845714,0.845714,1,0.845714,0.152177,0.002109,0.000000,0.845714,0.000000,0.000000
3,union,4096,1,0.540558,0.869136,0.540558,0.540558,0.540558,1,0.540558,0.417851,0.041591,0.000000,0.540558,0.000000,0.000000
3,union,16384,1,0.022866,0.394772,0.022866,0.022866,0.022866,0,0.022866,0.022866,0.954268,0.000000,0.022866,0.000000,0.000000
