gpu_id,view,region_size_bytes,num_kernels,avg_strict_ratio,avg_relaxed_ratio,avg_full_redundant_ratio,min_strict_ratio,max_strict_ratio,phase0_pass,avg_reg_card1_ratio,avg_reg_card2_ratio,avg_reg_card3_ratio,avg_reg_card4plus_ratio,avg_coalescable_private_ratio,avg_coalescable_shared_ratio,avg_shared_only_strict_ratio
3,read_only,64,1,1.000000,1.000000,1.000000,1.000000,1.000000,1,0.999925,0.000075,0.000000,0.000000,0.999925,0.000075,1.000000
3,read_only,256,1,1.000000,1.000000,1.000000,1.000000,1.000000,1,0.999925,0.000075,0.000000,0.000000,0.999925,0.000075,1.000000
3,read_only,1024,1,1.000000,1.000000,1.000000,1.000000,1.000000,1,0.999925,0.000075,0.000000,0.000000,0.999925,0.000075,1.000000
3,read_only,4096,1,0.999397,0.999698,0.999397,0.999397,0.999397,1,0.999397,0.000603,0.000000,0.000000,0.999397,0.000000,0.000000
3,read_only,16384,1,0.995192,0.998768,0.995192,0.995192,0.995192,1,0.995192,0.004808,0.000000,0.000000,0.995192,0.000000,0.000000
3,snapshot,64,1,1.000000,1.000000,1.000000,1.000000,1.000000,1,0.999878,0.000122,0.000000,0.000000,0.999878,0.000122,1.000000
3,snapshot,256,1,1.000000,1.000000,1.000000,1.000000,1.000000,1,0.999878,0.000122,0.000000,0.000000,0.999878,0.000122,1.000000
3,snapshot,1024,1,1.000000,1.000000,1.000000,1.000000,1.000000,1,0.999878,0.000122,0.000000,0.000000,0.999878,0.000122,1.000000
3,snapshot,4096,1,0.999519,0.999759,0.999519,0.999519,0.999519,1,0.999519,0.000481,0.000000,0.000000,0.999519,0.000000,0.000000
3,snapshot,16384,1,0.998138,0.999069,0.998138,0.998138,0.998138,1,0.998138,0.001862,0.000000,0.000000,0.998138,0.000000,0.000000
3,union,64,1,1.000000,1.000000,1.000000,1.000000,1.000000,1,0.999925,0.000075,0.000000,0.000000,0.999925,0.000075,1.000000
3,union,256,1,1.000000,1.000000,1.000000,1.000000,1.000000,1,0.999925,0.000075,0.000000,0.000000,0.999925,0.000075,1.000000
3,union,1024,1,1.000000,1.000000,1.000000,1.000000,1.000000,1,0.999925,0.000075,0.000000,0.000000,0.999925,0.000075,1.000000
3,union,4096,1,0.999397,0.999698,0.999397,0.999397,0.999397,1,0.999397,0.000603,0.000000,0.000000,0.999397,0.000000,0.000000
3,union,16384,1,0.995192,0.998768,0.995192,0.995192,0.995192,1,0.995192,0.004808,0.000000,0.000000,0.995192,0.000000,0.000000
