sim_time,gpu_id,kernel_id,view,region_size_bytes,num_regions_with_entries,strict_coalescable_ratio,avg_relaxed_ratio,full_redundant_ratio,sharer_set_cardinality_dist_json,reg_card1_ratio,reg_card2_ratio,reg_card3_ratio,reg_card4plus_ratio,coalescable_private_ratio,coalescable_shared_ratio,shared_only_strict_ratio
0.068844786,5,0,read_only,64,90113,1.000000,1.000000,1.000000,{"1":90113},1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,-1.000000
0.068844786,5,0,union,64,90113,1.000000,1.000000,1.000000,{"1":90113},1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,-1.000000
0.068844786,5,0,snapshot,64,8192,1.000000,1.000000,1.000000,{"1":8192},1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,-1.000000
0.068844786,5,0,read_only,256,90113,1.000000,1.000000,1.000000,{"1":90113},1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,-1.000000
0.068844786,5,0,union,256,90113,1.000000,1.000000,1.000000,{"1":90113},1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,-1.000000
0.068844786,5,0,snapshot,256,8192,1.000000,1.000000,1.000000,{"1":8192},1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,-1.000000
0.068844786,5,0,read_only,1024,22529,1.000000,1.000000,1.000000,{"1":90113},1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,-1.000000
0.068844786,5,0,union,1024,22529,1.000000,1.000000,1.000000,{"1":90113},1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,-1.000000
0.068844786,5,0,snapshot,1024,3509,1.000000,1.000000,1.000000,{"1":8192},1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,-1.000000
0.068844786,5,0,read_only,4096,5633,1.000000,1.000000,1.000000,{"1":90113},1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,-1.000000
0.068844786,5,0,union,4096,5633,1.000000,1.000000,1.000000,{"1":90113},1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,-1.000000
0.068844786,5,0,snapshot,4096,1103,1.000000,1.000000,1.000000,{"1":8192},1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,-1.000000
0.068844786,5,0,read_only,16384,1411,0.995748,0.998228,0.995748,{"1":90113},0.995748,0.004252,0.000000,0.000000,0.995748,0.000000,0.000000
0.068844786,5,0,union,16384,1411,0.995748,0.998228,0.995748,{"1":90113},0.995748,0.004252,0.000000,0.000000,0.995748,0.000000,0.000000
0.068844786,5,0,snapshot,16384,364,1.000000,1.000000,1.000000,{"1":8192},1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,-1.000000
